Cluster,N,EmojiPer100_mean,EmojiPer100_ci95
0,647,0.007079630189927847,0.010193734833975506
1,1223,0.02337201165501205,0.04027308858340383
2,1552,0.17377125482862543,0.13790763994014255
3,473,0.008071113960346047,0.007611543433010752
4,575,0.016569473639258075,0.01969293757262384
5,1016,0.037271709389771604,0.06458152419448271
6,259,0.0,0.0
7,221,0.010442046641141664,0.01737789478367447
